source_id,organization,source_type,landing_url
sebi-sebi-circular-1,SEBI,SEBI Circular,https://www.sebi.gov.in/legal/circulars/feb-2025/regulatory-framework-for-specialized-investment-funds-sif-_92299.html
sebi-sebi-circular-2,SEBI,SEBI Circular,https://blog.thealtinvestor.in/understanding-sebis-new-asset-class-sifs-specialized-investment-funds
sebi-sebi-circular-4,SEBI,SEBI Circular,https://www.mehta-mehta.com/sebi-update-regulatory-framework-for-specialized-investment-funds-sif/
sebi-sebi-circular-6,SEBI,SEBI Circular,https://groww.in/blog/sebi-introduces-regulatory-framework-for-specialized-investment-funds
sebi-sebi-circular-7,SEBI,SEBI Circular,https://www.etmoney.com/learn/sif/sebi-rules-for-specialised-investment-funds/
sebi-sebi-circular-8,SEBI,SEBI Circular,sebi.gov.in/legal/circulars/feb-2025/regulatory-framework-for-specialized-investment-funds-sif-_92299.html
sbi-mutual-fund-amc-website,SBI Mutual Fund,AMC Website,https://www.sbimf.com/magnumsif
mirae-asset-mutual-fund-amc-website,Mirae Asset Mutual Fund,AMC Website,https://platinumsif.miraeassetmf.co.in/
tata-mutual-fund-isid,Tata Mutual Fund,ISID,tatamutualfund.com/titanium-sif/titanium-hybrid-long-short-fund
quant-mutual-fund-sid,Quant Mutual Fund,SID,https://www.youtube.com/watch?v=b8Vks9jCdI4
hsbc-mutual-fund-brochure,HSBC Mutual Fund,Brochure,https://www.assetmanagement.hsbc.co.in/en/redhex-sif/-/media/Files/attachments/india/redhex-sif/nfo-deck-redhex-hybrid-long-short-fund
iti-mutual-fund-amc-website,ITI Mutual Fund,AMC Website,https://sif.itiamc.com/Home/DownloadOtherFile/21
kotak-mutual-fund-amc-website,Kotak Mutual Fund,AMC Website,https://www.kotakmf.com/sif
the-wealth-company-kim,The Wealth Company,KIM,https://www.wealthcompanyamc.in/wsif/downloads/scheme-information-document/kim/
the-wealth-company-factsheet,The Wealth Company,Factsheet,https://www.wealthcompanyamc.in/literature-forms/scheme-documents/factsheets/
aditya-birla-sun-life-amc-website,Aditya Birla Sun Life,AMC Website,https://m.economictimes.com/mf/mf-news/nfo-alert-aditya-birla-sun-life-mutual-fund-launches-apex-sifs-maiden-strategy-with-hybrid-long-short-fund/articleshow/129142811.cms
amfi-amfi-circular-1,AMFI,AMFI Circular,https://www.amfiindia.com/sif/latest-nav
amfi-amfi-circular-2,AMFI,AMFI Circular,https://www.amfiindia.com/sif
bandhan-mutual-fund-amc-website,Bandhan Mutual Fund,AMC Website,https://bandhanmutual.com/downloads/notices
